id,main_iter,out_iter,inner_iter,lw,Fscore,Jaccard
0,5,3,50,0.5,0.24875712785037774,0.16655939065750333
0,5,3,50,1.0,0.32624017144284745,0.21233308237335435
0,5,3,50,2.0,0.26694280244485946,0.17924590989572345
1684,5,3,50,0.5,0.322814248151912,0.2515136922214152
1684,5,3,50,1.0,0.5512687750533657,0.44194755805939645
1684,5,3,50,2.0,0.4747977739980297,0.36941804717296944
1912,5,3,50,0.5,0.4074848143289342,0.35461790280961775
1912,5,3,50,1.0,0.44600614313049164,0.36678036719841206
1912,5,3,50,2.0,0.4074848143289342,0.35461790280961775
3980,5,3,50,0.5,0.5728751468689549,0.47354867738950784
3980,5,3,50,1.0,0.4820048943490439,0.3986860021786492
3980,5,3,50,2.0,0.5595101719617612,0.4898061497326204
414,5,3,50,0.5,0.48068651953310626,0.3883259011172358
414,5,3,50,1.0,0.544533207112246,0.47674592970915974
414,5,3,50,2.0,0.4619866668569946,0.38708716757497247
698,5,3,50,0.5,0.6347263268780297,0.5283595322056861
698,5,3,50,1.0,0.5785111175858972,0.46155046262804883
698,5,3,50,2.0,0.6196372164059363,0.53660839110723
